date,unrate,claimrate,cclaimrate,cunrate,labforce,initclaims_1wdelay,contclaims_1wdelay,initclaims,contclaims,totclaims,totclaims_1wdelay,claimrate_1wdelay,cclaimrate_1wdelay,cclaimrate2,cclaimrate_1wdelay2,cunrate_1cclaimrate_1wdelay
01apr1975,8.8000002,5.3335481,.23955822,.19999981,93399,531000,4497000,520000,4449000,4969000,5028000,5.3968763,.27593994,.057388142,.076142848,.13796997
01may1975,9,5.4668679,.13331985,.19999981,93884,493000,4461000,514000,4592000,5106000,4954000,5.3041253,-.092751026,.017774183,.0086027533,-.018550187
01jun1975,8.8000002,5.353415,-.11345291,-.19999981,93575,497000,4406000,497000,4529000,5026000,4903000,5.2224021,-.081723213,.012871563,.0066786837,-.016344627
01jul1975,8.6000004,4.8121829,-.54123211,-.19999981,94021,445000,4208000,446000,4057000,4503000,4653000,4.9724822,-.24991989,.29293218,.062459953,.04998393
01aug1975,8.3999996,4.6564064,-.1557765,-.20000076,94162,457000,3940000,444000,3934000,4378000,4397000,4.6766148,-.29586744,.024266317,.087537542,.059173431
01sep1975,8.3999996,4.6048298,-.051576614,0,94202,433000,3880000,456000,3880000,4336000,4313000,4.5804038,-.096210957,.0026601471,.0092565482,.019242264
01oct1975,8.3999996,4.3778262,-.22700357,0,94267,426000,3662000,404000,3720000,4124000,4088000,4.3396106,-.24079323,.051530622,.057981379,0
01nov1975,8.3000002,4.176435,-.20139122,-.099999428,94250,401000,3377000,386000,3551000,3937000,3778000,4.0077653,-.33184528,.040558424,.11012129,0
01dec1975,8.1999998,3.8557029,-.32073212,-.10000038,94409,365000,3124000,368000,3266000,3634000,3489000,3.7018569,-.30590844,.10286909,.093579978,.030590668
01jan1976,7.9000001,3.5971146,-.25858831,-.29999971,94934,363000,2957000,370000,3026000,3396000,3320000,3.516614,-.18524289,.066867918,.03431493,.01852436
01feb1976,7.6999998,3.3823497,-.21476483,-.20000029,94998,347000,2862000,344000,2867000,3211000,3209000,3.3802431,-.1363709,.046123933,.018597022,.040911231
01mar1976,7.5999999,3.365334,-.017015696,-.099999905,95215,368000,2852000,360000,2837000,3197000,3220000,3.389545,.0093019009,.0002895339,.000086525361,-.0018603829
01apr1976,7.6999998,3.4143779,.049043894,.099999905,95746,367000,2900000,361000,2890000,3251000,3267000,3.4311821,.041637182,.0024053035,.001733655,-.0041637141
01may1976,7.4000001,3.4769077,.062529802,-.29999971,95847,394000,2961000,382000,2947000,3329000,3355000,3.5040629,.072880745,.0039099762,.0053116032,.0072880676
01jun1976,7.5999999,3.5024571,.025549412,.19999981,95885,399000,3003000,407000,2950000,3357000,3402000,3.5494068,.045343876,.00065277243,.0020560671,-.01360315
01jul1976,7.8000002,3.5636439,.06118679,.20000029,96583,394000,3019000,406000,3011000,3417000,3413000,3.5594723,.010065556,.0037438234,.00010131541,.0020131092
01aug1976,7.8000002,3.4912977,-.07234621,0,96741,400000,2983000,382000,2990000,3372000,3383000,3.5026867,-.056785583,.0052339742,.0032246024,-.011357133
01sep1976,7.5999999,3.6179075,.1266098,-.20000029,96553,423000,3103000,403000,3097000,3500000,3526000,3.6447835,.14209676,.016030042,.020191489,0
01oct1976,7.6999998,3.601131,-.016776562,.099999905,96704,409000,3088000,403000,3074000,3477000,3497000,3.621845,-.02293849,.00028145302,.00052617432,.0045877043
01nov1976,7.8000002,3.5644855,-.036645412,.10000038,97254,408000,3061000,383000,3064000,3447000,3469000,3.5872352,-.034609795,.0013428862,.0011978379,-.0034609761
01dec1976,7.8000002,3.3571885,-.20729709,0,97348,333000,2822000,365000,2900000,3265000,3155000,3.2440825,-.34315276,.04297208,.11775382,-.034315407
01jan1977,7.5,3.2964211,-.060767412,-.30000019,97208,423000,2834000,368000,2841000,3209000,3257000,3.3457286,.10164618,.0036926784,.010331947,0
01feb1977,7.5999999,3.4781089,.18168783,.099999905,97785,399000,2772000,477000,2904000,3381000,3171000,3.2620771,-.083651543,.033010468,.0069975806,.02509548
01mar1977,7.4000001,3.1528354,-.32527351,-.19999981,98115,369000,2695000,355000,2728000,3083000,3064000,3.133405,-.12867212,.10580286,.016556514,-.0128672
01apr1977,7.1999998,3.0994241,-.053411245,-.20000029,98330,375000,2660000,361000,2680000,3041000,3035000,3.0933089,-.040096045,.0028527612,.0016076928,.0080192015
01may1977,7,3.0672226,-.032201529,-.19999981,98665,375000,2647000,381000,2635000,3016000,3022000,3.0733244,-.019984484,.0010369384,.00039937958,.0039969026
